code,year,url,url_event,event_id,event_name,event_type,event_date,round,round_long,wl,opp_code,opp_first,opp_last,opp_ioc,opp_rank,score,reason,is_bye,has_stats_atp,file,level,walkover,atp_id,sources,in_sackmann,in_tml,in_tennis_data,in_otd,in_live_tennis_api,in_charting,in_slam_points,in_polymarket,box_sackmann,box_tml,slam_point_rows,score_states,closing_odds,market_prices,depth,depth_label,why_missing,player
W09E,2015,en/scores/match-stats/archive/2015/3389/ms017,3389,3389,Australia F9,FU,2015-10-19,R32,Round of 32,L,MM79,Blake,Mott,AUS,791,2-6 2-6,,False,False,W09E_2015.txt,ITF Futures,False,W09E:2015/3389/ms017,sackmann,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,"Result, no statistics",,Adam Walton
W09E,2015,en/scores/match-stats/archive/2015/3376/ms019,3376,3376,Australia F7,FU,2015-10-05,R32,Round of 32,L,TA04,Finn,Tearney,NZL,491,0-6 1-6,,False,False,W09E_2015.txt,ITF Futures,False,W09E:2015/3376/ms019,sackmann,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,"Result, no statistics",,Adam Walton
W09E,2016,en/scores/match-stats/archive/2016/3376/ms011,3376,3376,Australia F7,FU,2016-10-03,R16,Round of 16,L,PH71,Max,Purcell,AUS,388,4-6 4-6,,False,False,W09E_2016.txt,ITF Futures,False,W09E:2016/3376/ms011,sackmann,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,"Result, no statistics",,Adam Walton
W09E,2016,en/scores/match-stats/archive/2016/3376/ms022,3376,3376,Australia F7,FU,2016-10-03,R32,Round of 32,W,F034,Patrick,Flynn,AUS,0,6-3 6-1,,False,False,W09E_2016.txt,ITF Futures,False,W09E:2016/3376/ms022,sackmann,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,"Result, no statistics",,Adam Walton
W09E,2016,en/scores/match-stats/archive/2016/1515/ms011,1515,1515,Australia F6,FU,2016-09-26,R16,Round of 16,L,J393,Jarmere,Jenkins,USA,811,3-6 1-6,,False,False,W09E_2016.txt,ITF Futures,False,W09E:2016/1515/ms011,sackmann,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,"Result, no statistics",,Adam Walton
W09E,2016,en/scores/match-stats/archive/2016/1515/ms022,1515,1515,Australia F6,FU,2016-09-26,R32,Round of 32,W,E0A5,Nathan,Eshmade,AUS,1500,2-6 6-4 7-6(5),,False,False,W09E_2016.txt,ITF Futures,False,W09E:2016/1515/ms022,sackmann,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,"Result, no statistics",,Adam Walton
W09E,2016,en/scores/match-stats/archive/2016/380/ms025,380,380,Australia F1,FU,2016-02-22,R32,Round of 32,L,BU58,Mislav,Bosnjak,AUS,0,6-3 3-6 4-6,,False,False,W09E_2016.txt,ITF Futures,False,W09E:2016/380/ms025,sackmann,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,"Result, no statistics",,Adam Walton
W09E,2016,en/scores/match-stats/archive/2016/7393/qs017,7393,7393,Canberra,CH,2016-01-11,Q1,1st Round Qualifying,L,TD23,Brian,Tran,AUS,0,6-7(9) 2-6,,False,True,W09E_2016.txt,Challenger qualifying,False,W09E:2016/7393/qs017,sackmann,True,False,False,False,False,False,False,False,True,False,False,False,False,False,3,Result + serve/return totals,,Adam Walton
W09E,2017,en/scores/match-stats/archive/2017/363/qs019,363,363,Knoxville,CH,2017-11-06,Q1,1st Round Qualifying,L,SN44,Bruno,Santanna,BRA,376,4-6 3-6,,False,True,W09E_2017.txt,Challenger qualifying,False,W09E:2017/363/qs019,sackmann,True,False,False,False,False,False,False,False,True,False,False,False,False,False,3,Result + serve/return totals,,Adam Walton
W09E,2019,en/scores/match-stats/archive/2019/382/ms021,382,382,M15 Champaign,FU,2019-09-09,R32,Round of 32,W,KI26,Noe,Khlif,FRA,0,6-0 6-2,,False,False,W09E_2019.txt,ITF Futures,False,W09E:2019/382/ms021,sackmann,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,"Result, no statistics",,Adam Walton
