code,source,source_file,source_row,date,date_kind,event_name,tourney_id,tourney_level,round,opp_name,opp_id,won,score,id_matches,name_matches,second_record,has_box,stat_fields,has_minutes,svpt_w,svpt_l,has_odds,lta_match_id,score_states,chart_id,slam,has_points,market_id,has_prices,ref_id,link,gap_days,date_disagrees,opp_disagrees,elsewhere,player
W09E,sackmann,atp_matches_2024.csv,1563,2024-06-24,tournament week,Mallorca,2024-8994,A,R32,Yannick Hanfmann,105870,True,7-5 6-2,True,True,False,True,18.0,True,63,65,,,,,,,,,W09E:atp:2024/8994/ms019:H997,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_2024.csv,1633,2024-07-01,tournament week,Wimbledon,2024-540,G,R128,Federico Coria,105948,True,6-3 6-3 7-5,True,True,False,True,18.0,True,78,93,,,,,,,,,W09E:atp:2024/540/ms097:CE77,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_2024.csv,1863,2024-07-22,tournament week,Atlanta,2024-6116,A,R32,Miomir Kecmanovic,200175,True,6-4 6-4,True,True,False,True,18.0,True,59,51,,,,,,,,,W09E:atp:2024/6116/ms028:KI95,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_2025.csv,678,2025-03-05,tournament week,Indian Wells Masters,2025-0404,M,R128,Giulio Zeppieri,206748,True,7-5 6-1,True,True,False,True,18.0,True,51,67,,,,,,,,,W09E:atp:2025/404/ms125:Z0A1,linked,2.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_2025.csv,700,2025-03-19,tournament week,Miami Masters,2025-0403,M,R32,Coleman Wong,209409,True,7-6(6) 4-6 6-4,True,True,False,True,18.0,True,104,99,,,,,,,,,W09E:atp:2025/403/ms021:W0BH,linked,2.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_2025.csv,721,2025-03-19,tournament week,Miami Masters,2025-0403,M,R64,Luciano Darderi,209260,True,6-4 6-4,True,True,False,True,18.0,True,66,66,,,,,,,,,W09E:atp:2025/403/ms042:D0FJ,linked,2.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_2025.csv,828,2025-03-31,tournament week,Houston,2025-0717,A,R32,Michael Mmoh,111581,True,6-3 7-6(5),True,True,False,True,18.0,True,71,61,,,,,,,,,W09E:atp:2025/717/ms030:MP01,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_2025.csv,1347,2025-05-26,tournament week,Roland Garros,2025-520,G,R128,Maximilian Marterer,109739,True,7-6(3) 4-6 6-3 2-6 6-2,True,True,False,True,18.0,False,152,153,,,,,,,,,W09E:atp:2025/520/ms069:MN13,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_2025.csv,1705,2025-07-14,tournament week,Los Cabos,2025-7480,A,QF,James Duckworth,105902,True,3-6 6-3 6-4,True,True,False,True,18.0,True,81,85,,,,,,,,,W09E:atp:2025/7480/ms007:D994,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_2025.csv,1712,2025-07-14,tournament week,Los Cabos,2025-7480,A,R16,Nishesh Basavareddy,210460,True,6-1 6-0,True,True,False,True,18.0,True,40,42,,,,,,,,,W09E:atp:2025/7480/ms014:B0NN,linked,0.0,False,False,,Adam Walton
