ref_id,player,event_name,event_date,round,level,year,period,depth_label,needs_points,needs_shots,sofascore,sofascore_read_directly,sofascore_unobserved,sofascore_observed,live_tennis_api,live_tennis_api_june_sample,sackmann_pbp_copies,tennis_abstract_web,live_tennis_api_archive,sportradar,tdi_tennis_results,infront_itf,enetpulse,stats_perform,slam_feeds,atp_tracking
CH12:atp:2012/488/ms008:BA79,Jan Choinski,Germany F9,2012-07-09,R16,ITF main draw,2012,2012-18,"Result, no statistics",True,True,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2012/488/ms017:U113,Jan Choinski,Germany F9,2012-07-09,R32,ITF main draw,2012,2012-18,"Result, no statistics",True,True,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2012/2140/ms019:V635,Jan Choinski,Germany F16,2012-08-27,R32,ITF main draw,2012,2012-18,"Result, no statistics",True,True,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2013/572/ms014:F980,Jan Choinski,Germany F7,2013-06-24,R16,ITF main draw,2013,2012-18,"Result, no statistics",True,True,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2013/572/ms029:MQ41,Jan Choinski,Germany F7,2013-06-24,R32,ITF main draw,2013,2012-18,"Result, no statistics",True,True,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2013/551/ms030:Y171,Jan Choinski,Germany F8,2013-07-01,R32,ITF main draw,2013,2012-18,"Result, no statistics",True,True,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2013/205/ms021:Z198,Jan Choinski,Germany F10,2013-07-15,R32,ITF main draw,2013,2012-18,"Result, no statistics",True,True,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2013/3673/ms014:MN20,Jan Choinski,Germany F18,2013-10-07,R16,ITF main draw,2013,2012-18,"Result, no statistics",True,True,False,True,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2013/3673/ms028:W534,Jan Choinski,Germany F18,2013-10-07,R32,ITF main draw,2013,2012-18,"Result, no statistics",True,True,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2013/6666/ms022:DA91,Jan Choinski,Germany F20,2013-10-21,R32,ITF main draw,2013,2012-18,"Result, no statistics",True,True,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2014/321/qs013:MG54,Jan Choinski,Stuttgart,2014-07-07,Q2,Tour qualifying,2014,2012-18,Result + serve/return totals,True,True,False,False,False,True,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2014/321/qs026:E243,Jan Choinski,Stuttgart,2014-07-07,Q1,Tour qualifying,2014,2012-18,Result + serve/return totals,True,True,False,False,False,True,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH12:atp:2014/551/ms031:T911,Jan Choinski,Germany F8,2014-07-14,R32,ITF main draw,2014,2012-18,"Result, no statistics",True,True,True,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
