ref_id,player,event_name,event_date,round,opp_last,score,level,era,marker,sofa_id,first_to_serve,final_result_only,http,games_per_set,set_final_scores,event_marker,note,read_on
CH12:atp:2018/7316/ms026:Y124,Jan Choinski,Cary,2018-09-10,R32,Young,7-6(4) 2-6 1-6,Challenger main draw,2012-18,marker,7974972,2,false,200,"13,8,7","7-6,2-6,1-6",,,2026-09-23
CH12:atp:2018/9128/ms011:RH16,Jan Choinski,Calgary,2018-10-15,R16,Ruud,3-6 2-6,Challenger main draw,2012-18,marker,8026787,2,false,200,"9,8","3-6,2-6",,,2026-09-23
CH12:atp:2017/1768/ms028:RB56,Jan Choinski,Tiburon,2017-09-25,R32,Ramanathan,6-1 6-2,Challenger main draw,2012-18,no marker,7596880,absent,false,404,,,,,2026-09-23
CH12:atp:2019/7874/ms058:HA28,Jan Choinski,Lille,2019-03-18,R64,Horansky,6-4 6-4,Challenger main draw,2019-21,marker,8167350,1,false,200,"10,10","6-4,6-4",,,2026-09-23
CH12:atp:2019/7874/ms014:RH54,Jan Choinski,Lille,2019-03-18,R16,Roumane,4-6 6-4 7-6(4),Challenger main draw,2019-21,marker,8170289,1,false,200,"10,10,13","6-4,4-6,4-7",,,2026-09-23
CH12:atp:2019/854/ms007:MJ01,Jan Choinski,Bergamo,2019-02-18,QF,Marcora,6-7(3) 3-6,Challenger main draw,2019-21,no marker,8146627,absent,false,404,,,,,2026-09-23
O0A2:atp:2023/2837/ms002:GB88,Gauthier Onclin,Ottignies-Louvain-la-Neuve,2023-01-23,SF,Goffin,6-7(3) 2-6,Challenger main draw,2022-23,marker,11003598,1,false,404,,,absent,listing marker mis-copied: the event record has no firstToServe,2026-09-23
O0A2:atp:2023/2837/ms005:U120,Gauthier Onclin,Ottignies-Louvain-la-Neuve,2023-01-23,QF,Uchida,6-3 6-3,Challenger main draw,2022-23,marker,11003606,1,false,404,,,absent,listing marker mis-copied: the event record has no firstToServe,2026-09-23
H09P:atp:2023/637/ms013:D0DW,Brandon Holt,Champaign,2023-11-13,R16,Droguet,4-6 3-6,Challenger main draw,2022-23,no marker,11815760,absent,false,404,,,,,2026-09-23
S0GZ:atp:2024/9001/ms020:AE14,Nikolas Sanchez Izquierdo,Perugia,2024-06-10,R32,Altmaier,2-6 3-6,Challenger main draw,2024,marker,12406712,2,false,200,"8,9","6-2,6-3",,,2026-09-23
H0A4:atp:2024/2955/ms015:B0MM,Nick Hardt,Montemar,2024-11-18,R16,Butvilas,7-6(3) 6-1,Challenger main draw,2024,marker,13120881,1,false,200,"13,7","7-3,6-1",,set 1 final is the tiebreak score,2026-09-23
W09E:atp:2024/7100/ms006:MP13,Adam Walton,Pune,2024-02-19,QF,Sasikumar,,Challenger main draw,2024,no marker,12067309,absent,false,404,,,,no official score (walkover),2026-09-23
H09P:atp:2025/2801/ms003:T09X,Brandon Holt,Nonthaburi 3,2025-01-13,SF,Tabur,6-2 6-4,Challenger main draw,2025-26,marker,13309573,1,false,200,"8,10","6-2,6-4",,,2026-09-23
S0GZ:atp:2025/2919/ms006:R09V,Nikolas Sanchez Izquierdo,Porto Alegre,2025-04-28,QF,Ribeiro,7-5 7-5,Challenger main draw,2025-26,marker,13805080,2,false,200,"12,12","5-7,5-7",,,2026-09-23
O0A2:atp:2025/460/ms021:M0IF,Gauthier Onclin,Heilbronn - Bad Rappenau,2025-06-02,R32,Maestrelli,3-6 6-4 7-6(6),Challenger main draw,2025-26,no marker,13968516,absent,false,200,"9,10,13","3-6,6-4,8-6",1,listing marker mis-copied: the event record has firstToServe 1,2026-09-23
H09P:atp:2017/228/qs009:S0CT,Brandon Holt,Winnetka,2017-07-10,Q2,Schorsch,2-6 4-6,Challenger qualifying,2012-18,marker,7472616,1,false,404,,,absent,listing marker mis-copied: the event record has no firstToServe,2026-09-23
CH12:atp:2017/1768/qs006:U120,Jan Choinski,Tiburon,2017-09-25,Q3,Uchida,5-7 6-3 1-6,Challenger qualifying,2012-18,no marker,7595259,absent,false,404,,,,,2026-09-23
S0GZ:atp:2021/9162/qs004:K0BJ,Nikolas Sanchez Izquierdo,Pau,2021-11-15,Q2,Kravchenko,1-6 2-6,Challenger qualifying,2019-21,marker,9955928,1,false,200,"7,8","1-6,2-6",,,2026-09-23
S0GZ:atp:2021/9540/qs006:LF26,Nikolas Sanchez Izquierdo,San Marino,2021-08-09,Q2,Luz,1-6 7-6(5) 2-6,Challenger qualifying,2019-21,marker,9707254,1,false,200,"7,13,8","6-1,6-7,6-2",,,2026-09-23
G0BY:atp:2021/9552/qs013:W0BX,Daniil Glinka,St. Tropez,2021-08-30,Q1,Whiting,6-2 6-2,Challenger qualifying,2019-21,no marker,9715181,absent,false,404,,,,,2026-09-23
P0I6:atp:2022/9190/qs016:VA70,Gabriele Piraino,Parma,2022-10-03,Q1,Valkusz,6-0 0-6 4-6,Challenger qualifying,2022-23,no marker,10730537,absent,false,404,,,,,2026-09-23
S0GZ:atp:2024/9687/qs026:TE16,Nikolas Sanchez Izquierdo,Madrid,2024-04-08,Q1,Taberner,1-4,Challenger qualifying,2024,marker,12229002,2,false,200,5,1-4,,retirement,2026-09-23
G0BY:atp:2024/877/qs025:H0D9,Daniil Glinka,Granby,2024-07-15,Q1,Harper,4-6 5-7,Challenger qualifying,2024,marker,12539357,2,false,200,"10,12","6-4,7-5",,,2026-09-23
G0BY:atp:2025/472/qs022:BU36,Daniil Glinka,Pozoblanco,2025-07-14,Q1,Barroso Campos,6-4 6-4,Challenger qualifying,2025-26,marker,14170840,1,false,200,"10,10","6-4,6-4",,,2026-09-23
G0BY:atp:2025/7542/qs022:DG76,Daniil Glinka,Winnipeg,2025-07-07,Q1,Donarski,6-0 4-1,Challenger qualifying,2025-26,marker,14114019,1,false,200,"6,5","6-0,4-1",,retirement,2026-09-23
CH12:atp:2017/238/ms023:DF92,Jan Choinski,U.S.A. F8,2017-02-20,R32,Denolly,2-6 7-6(2) 5-7,ITF main draw,2012-18,marker,7343283,2,false,200,"8,13,12","2-6,7-6,5-7",,,2026-09-23
CH12:atp:2017/454/ms014:KA98,Jan Choinski,U.S.A. F11,2017-03-20,R16,Klahn,3-6 6-3 3-6,ITF main draw,2012-18,marker,7368716,1,false,200,"9,9,9","3-6,6-3,3-6",,,2026-09-23
CH12:atp:2013/3673/ms014:MN20,Jan Choinski,Germany F18,2013-10-07,R16,Masur,6-2 4-6 1-6,ITF main draw,2012-18,no marker,4531852,absent,false,404,,,,,2026-09-23
CH12:atp:2019/7468/ms008:K0EU,Jan Choinski,M15 Santo Domingo,2019-12-02,R16,Kodat,6-1 6-0,ITF main draw,2019-21,marker,8516766,2,false,200,"7,6","6-1,6-0",,,2026-09-23
G0BY:atp:2020/7457/ms010:GA71,Daniil Glinka,M15 Monastir,2020-10-12,R16,Grigelis,3-6 3-6,ITF main draw,2019-21,marker,9113601,2,false,200,"9,9","6-3,6-3",,,2026-09-23
H0A4:atp:2020/7476/ms023:K0EQ,Nick Hardt,M15 Santo Domingo,2020-12-07,R32,Khan,6-4 3-0,ITF main draw,2019-21,no marker,9222409,absent,false,404,,,,retirement,2026-09-23
G0BY:atp:2022/7109/ms006:Y09V,Daniil Glinka,M25 Tbilisi,2022-08-08,QF,Bu,4-6 4-6,ITF main draw,2022-23,marker,10559646,2,false,200,"10,10","4-6,4-6",,,2026-09-23
V0F6:atp:2023/8303/ms022:A0LI,Nicolas Villalon,M15 Cochabamba,2023-11-13,R32,Amarilla,6-4 6-4,ITF main draw,2022-23,marker,11827965,1,false,200,"10,10","6-4,6-4",,,2026-09-23
G0BY:atp:2023/813/ms003:B0ER,Daniil Glinka,M15 Forbach,2023-09-25,SF,Bouquier,6-1 6-3,ITF main draw,2022-23,no marker,11696863,absent,false,200,"7,9","1-6,3-6",2,listing marker mis-copied: the event record has firstToServe 2,2026-09-23
