ref_id,player,event_name,event_date,round,opp_last,score,level,sofa_id,first_to_serve,pbp_marker,http,games_per_set,set_final_scores,read_on
H0A4:atp:2026/4674/ms006:B0PW,Nick Hardt,"M25 Pensacola, FL",2026-05-11,QF,Bigun,6-0 6-2,ITF main draw,16182944,absent,False,200,"6,8","6-0,6-2",2026-09-23
P0I6:atp:2025/4613/ms015:M0NU,Gabriele Piraino,M15 Antalya,2025-03-24,R16,Matuszewski,6-1 6-4,ITF main draw,13678634,absent,False,404,,,2026-09-23
P0HY:atp:2025/4563/ms004:N0DB,Samuele Pieri,M15 Porec,2025-03-10,QF,Nedic,4-6 1-6,ITF main draw,13607832,absent,False,404,,,2026-09-23
H0A4:atp:2026/4674/ms003:F0II,Nick Hardt,"M25 Pensacola, FL",2026-05-11,SF,Fahim,7-6(3) 6-4,ITF main draw,16187883,absent,False,200,"13,10","7-6,6-4",2026-09-23
P0I6:atp:2026/4675/ms014:B0PH,Gabriele Piraino,M25 Reggio Emilia,2026-05-11,R16,Bilardo,6-4 6-7(4) 7-5,ITF main draw,16175880,absent,False,200,"10,13,12","6-4,6-7,7-5",2026-09-23
G0BY:atp:2025/4680/ms006:A0IA,Daniil Glinka,M25 Tbilisi,2025-05-12,QF,Arutiunian,4-6 4-6,ITF main draw,13896489,1,True,404,,,2026-09-23
P0I6:atp:2025/4502/ms007:S0LR,Gabriele Piraino,M25 Antalya,2025-02-03,QF,Sperle,7-6(6) 6-3,ITF main draw,13439461,absent,False,404,,,2026-09-23
P0HY:atp:2025/4384/ms006:P0MT,Samuele Pieri,M15 Targu Jiu,2025-08-11,QF,Papoe,6-4 6-0,ITF main draw,14436985,1,True,404,,,2026-09-23
H0A4:atp:2025/5166/ms012:I09N,Nick Hardt,M25 Santa Margherita di Pula,2025-10-20,R16,Iannaccone,6-3 4-6 7-6(3),ITF main draw,14937620,1,True,404,,,2026-09-23
P0HY:atp:2025/4626/ms026:M0O0,Samuele Pieri,M25 Santa Margherita di Pula,2025-04-07,R32,Minighini,6-3 7-6(5),ITF main draw,13731028,1,True,404,,,2026-09-23
P0HY:atp:2025/4392/ms007:R0B3,Samuele Pieri,M15 Forli,2025-08-25,QF,Rispoli,3-6 6-4 6-4,ITF main draw,14558753,absent,False,404,,,2026-09-23
G0BY:atp:2025/9554/ms031:DC76,Daniil Glinka,M25 Esch Alzette,2025-01-20,R32,Durasovic,7-6(4) 6-7(1) 6-4,ITF main draw,13364961,absent,False,404,,,2026-09-23
V0F6:atp:2025/4353/ms016:D0HJ,Nicolas Villalon,M15 Kursumljiska Banja,2025-06-23,R32,Djuric,1-6 0-6,ITF main draw,14046100,absent,False,404,,,2026-09-23
V0F6:atp:2025/5163/ms017:LA54,Nicolas Villalon,M25 Rio de Janeiro,2025-10-06,R32,Leite,6-3 6-4,ITF main draw,14837505,absent,False,404,,,2026-09-23
H0A4:atp:2025/4451/ms025:GK07,Nick Hardt,M25 Sintra,2025-10-27,R32,Graca,6-2 6-1,ITF main draw,14963936,1,True,404,,,2026-09-23
P0HY:atp:2026/4626/ms014:P0O9,Samuele Pieri,M25 Santa Margherita di Pula,2026-04-06,R16,Petkovic,1-6 0-6,ITF main draw,15971609,absent,False,200,"7,6","1-6,0-6",2026-09-23
H0A4:atp:2026/5265/ms007:F0CK,Nick Hardt,M15 San Jose,2026-02-23,QF,Fenty,6-4 3-6 6-3,ITF main draw,15624738,absent,False,404,,,2026-09-23
P0I6:atp:2026/4724/ms031:L0G4,Gabriele Piraino,M25 Caltanissetta,2026-06-01,R32,Lorusso,6-3 6-1,ITF main draw,16270930,absent,False,200,"9,7","3-6,1-6",2026-09-23
P0HY:atp:2025/6442/ms031:D0IF,Samuele Pieri,M15 Antalya,2025-12-08,R32,Dolzhenkov,6-2 6-0,ITF main draw,15196747,1,True,404,,,2026-09-23
P0I6:atp:2026/4733/ms002:Z0C9,Gabriele Piraino,M15 Messina,2026-06-08,SF,Zielinski,6-1 6-3,ITF main draw,16314169,absent,False,200,"7,9","6-1,6-3",2026-09-23
