source,code,player,date,event,level,round,opponent,score,points,file,row_id,in_dump_export,ref_id,ref_level,ref_event,link,duplicate_of_other_copy
pbp_copy_2015,CH12,Jan Choinski,2014-07-05,MercedesCup-ATPStuttgartQualifying,Tour qualifying,,David Estruch,6-3 6-3,122,pbp_matches_atp_qual_archive.csv,,,CH12:atp:2014/321/qs026:E243,Tour qualifying,Stuttgart,linked,True
pbp_copy_2015,CH12,Jan Choinski,2014-07-06,MercedesCup-ATPStuttgartQualifying,Tour qualifying,,Yann Marti,6-2 6-7(4) 6-2,184,pbp_matches_atp_qual_archive.csv,,,CH12:atp:2014/321/qs013:MG54,Tour qualifying,Stuttgart,linked,True
pbp_copy_2015,CH12,Jan Choinski,2014-09-16,ATPChallengerTour-Trnava,Challenger main draw,,Jan Mertl,6-1 6-0,72,pbp_matches_ch_main_archive.csv,,,CH12:atp:2014/3628/ms022:MA38,Challenger main draw,Trnava,linked,True
pbp_copy_2015,CH12,Jan Choinski,2014-08-16,ITFTour-GermanyF12,ITF main draw,,Johannes Haerteis,7-6(5) 6-0,143,pbp_matches_fu_main_archive.csv,,,CH12:atp:2014/232/ms003:HB31,ITF main draw,Germany F12,linked,True
pbp_copy_2015,CH12,Jan Choinski,2014-08-17,ITFTour-GermanyF12,ITF main draw,,Yannick Hanfmann,7-5 6-1,114,pbp_matches_fu_main_archive.csv,,,CH12:atp:2014/232/ms001:H997,ITF main draw,Germany F12,linked,True
pbp_copy_2015,CH12,Jan Choinski,2014-08-23,ITFTour-BelgiumF12,ITF main draw,,Julien Cagnina,3-6 6-4 7-6(3),198,pbp_matches_fu_main_archive.csv,,,CH12:atp:2014/7111/ms001:CG32,ITF main draw,Belgium F12,linked,True
pbp_copy_2015,CH12,Jan Choinski,2014-10-08,ITFTour-GermanyF15,ITF main draw,,Pavel Nejedly,7-5 6-2,123,pbp_matches_fu_main_archive.csv,,,CH12:atp:2014/2139/ms018:N824,ITF main draw,Germany F15,linked,True
pbp_copy_2015,CH12,Jan Choinski,2014-10-09,ITFTour-GermanyF15,ITF main draw,,Peter Kobelt,4-6 6-2 7-6(6),224,pbp_matches_fu_main_archive.csv,,,CH12:atp:2014/2139/ms009:KC51,ITF main draw,Germany F15,linked,True
pbp_copy_2015,CH12,Jan Choinski,2014-10-15,ITFTour-GermanyF16,ITF main draw,,Matthias Wunner,6-4 6-2,118,pbp_matches_fu_main_archive.csv,,,CH12:atp:2014/2140/ms022:W655,ITF main draw,Germany F16,linked,True
pbp_copy_2015,CH12,Jan Choinski,2014-11-19,ITFTour-TurkeyF41,ITF main draw,,Tallon Griekspoor,6-3 6-4,113,pbp_matches_fu_main_archive.csv,,,CH12:atp:2014/6676/ms021:GJ37,ITF main draw,Turkey F41,linked,True
