code,page,sofa_id,ts,tournament,category,sofa_round,home,away,winner_code,final_result_only,first_to_serve,status,home_sets,away_sets,ts_suspect,ts_link,player,doubles,side,opponent,round_code,date
CH12,0,16306516,1781791500,"Poznan, Poland",Challenger,Quarterfinals,Gustavo Heide,Jan Choinski,1,false,2,finished,2,1,False,1781791500,Jan Choinski,False,away,Gustavo Heide,QF,2026-06-18 14:05
CH12,0,16365476,1781977500,"Eastbourne, Great Britain, Qualifying",ATP,Qualification Round 1,Jan Choinski,Yibing Wu,1,false,1,finished,2,0,False,1781977500,Jan Choinski,False,home,Yibing Wu,Q1,2026-06-20 17:45
CH12,0,16370145,1782045000,"Eastbourne, Great Britain, Qualifying",ATP,Qualification Final,Marcos Giron,Jan Choinski,2,false,1,finished,1,2,False,1782045000,Jan Choinski,False,away,Marcos Giron,Q,2026-06-21 12:30
CH12,0,16373935,1782145500,"Eastbourne, Great Britain",ATP,Round of 32,Jan Choinski,Alexei Popyrin,1,false,2,finished,2,1,False,1782145500,Jan Choinski,False,home,Alexei Popyrin,R32,2026-06-22 16:25
CH12,0,16385970,1782307800,"Eastbourne, Great Britain",ATP,Round of 16,Felix Gill,Jan Choinski,2,false,2,finished,1,2,False,1782307800,Jan Choinski,False,away,Felix Gill,R16,2026-06-24 13:30
CH12,0,16345107,1782307800,"Eastbourne, Great Britain",ATP,Round of 16,Taylor Fritz,Jan Choinski,absent,false,absent,canceled,absent,absent,False,1782307800,Jan Choinski,False,away,Taylor Fritz,R16,2026-06-24 13:30
CH12,0,16345099,1782387600,"Eastbourne, Great Britain",ATP,Quarterfinals,Jan Choinski,Zizou Bergs,2,false,2,finished,0,2,False,1782387600,Jan Choinski,False,home,Zizou Bergs,QF,2026-06-25 11:40
CH12,0,16397384,1782839100,"Wimbledon, London, Great Britain",ATP,Round of 128,Vit Kopřiva,Jan Choinski,2,false,2,finished,0,3,False,1782839100,Jan Choinski,False,away,Vit Kopřiva,R128,2026-06-30 17:05
CH12,0,16385322,1783010100,"Wimbledon, London, Great Britain",ATP,Round of 64,Frances Tiafoe,Jan Choinski,1,false,1,finished,3,1,False,1783010100,Jan Choinski,False,away,Frances Tiafoe,R64,2026-07-02 16:35
CH12,0,16457953,1783416300,"Braunschweig, Germany",Challenger,Round of 32,Jan Choinski,Dimitar Kuzmanov,1,false,1,finished,2,0,False,1783416300,Jan Choinski,False,home,Dimitar Kuzmanov,R32,2026-07-07 09:25
CH12,0,16425304,1783524300,"Braunschweig, Germany",Challenger,Round of 16,Jan Choinski,Max Hans Rehberg,1,false,2,finished,2,1,False,1783524300,Jan Choinski,False,home,Max Hans Rehberg,R16,2026-07-08 15:25
CH12,0,16425309,1783677600,"Braunschweig, Germany",Challenger,Quarterfinals,Jan Choinski,Diego Dedura-Palomero,1,false,1,finished,2,0,False,1783677600,Jan Choinski,False,home,Diego Dedura-Palomero,QF,2026-07-10 10:00
CH12,0,16425314,1783771200,"Braunschweig, Germany",Challenger,Semifinals,Daniel Rincon,Jan Choinski,2,false,1,finished,0,2,False,1783771200,Jan Choinski,False,away,Daniel Rincon,SF,2026-07-11 12:00
CH12,0,16425315,1783858500,"Braunschweig, Germany",Challenger,Final,Jan Choinski,Hugo Gaston,1,false,2,finished,2,1,False,1783858500,Jan Choinski,False,home,Hugo Gaston,F,2026-07-12 12:15
CH12,0,16495404,1784029800,"Bastad, Sweden",ATP,Round of 32,Jan Choinski,Nikoloz Basilashvili,2,false,2,finished,0,2,False,1784029800,Jan Choinski,False,home,Nikoloz Basilashvili,R32,2026-07-14 11:50
CH12,0,16564423,1784631600,"Estoril, Portugal",ATP,Round of 32,Jan Choinski,Jesper De Jong,absent,false,absent,canceled,absent,absent,False,1784631600,Jan Choinski,False,home,Jesper De Jong,R32,2026-07-21 11:00
CH12,0,16629547,1785156300,"Bonn, Germany",Challenger,Round of 32,Jan Choinski,Francesco Passaro,1,false,1,finished,2,0,False,1785156300,Jan Choinski,False,home,Francesco Passaro,R32,2026-07-27 12:45
CH12,0,16593398,1785315600,"Bonn, Germany",Challenger,Round of 16,Jan Choinski,Alex Barrena,1,false,1,finished,2,0,False,1785315600,Jan Choinski,False,home,Alex Barrena,R16,2026-07-29 09:00
CH12,0,16593403,1785488400,"Bonn, Germany",Challenger,Quarterfinals,Jan Choinski,Olle Wallin,1,false,2,finished,2,0,False,1785488400,Jan Choinski,False,home,Olle Wallin,QF,2026-07-31 09:00
CH12,0,16593394,1785588600,"Bonn, Germany",Challenger,Semifinals,Jan Choinski,Federico Agustin Gomez,1,false,1,finished,2,0,False,1785588600,Jan Choinski,False,home,Federico Agustin Gomez,SF,2026-08-01 12:50
CH12,0,16593393,1785668400,"Bonn, Germany",Challenger,Final,Jan Choinski,Jamie Mackenzie,1,false,1,finished,2,0,False,1785668400,Jan Choinski,False,home,Jamie Mackenzie,F,2026-08-02 11:00
CH12,1,15588989,1771657200,"Dubai, UAE, Qualifying",ATP,Qualification Round 1,Jan Choinski,Jesper De Jong,1,false,2,finished,2,0,False,1771657200,Jan Choinski,False,home,Jesper De Jong,Q1,2026-02-21 07:00
CH12,1,15592767,1771743600,"Dubai, UAE, Qualifying",ATP,Qualification Final,Giovanni Mpetshi Perricard,Jan Choinski,1,false,1,finished,2,1,False,1771743600,Jan Choinski,False,away,Giovanni Mpetshi Perricard,Q,2026-02-22 07:00
CH12,1,15638564,1772543400,"Thionville, France",Challenger,Round of 32,Mae Malige,Jan Choinski,2,false,2,finished,0,2,False,1772543400,Jan Choinski,False,away,Mae Malige,R32,2026-03-03 13:10
CH12,1,15624630,1772653500,"Thionville, France",Challenger,Round of 16,Roman Safiullin,Jan Choinski,2,false,2,finished,1,2,False,1772653500,Jan Choinski,False,away,Roman Safiullin,R16,2026-03-04 19:45
CH12,1,15624620,1772798400,"Thionville, France",Challenger,Quarterfinals,Nicolai Budkov Kjaer,Jan Choinski,1,false,1,finished,2,0,False,1772798400,Jan Choinski,False,away,Nicolai Budkov Kjaer,QF,2026-03-06 12:00
CH12,1,15736435,1773669900,"Murcia, Spain",Challenger,Round of 32,Miguel Damas,Jan Choinski,2,false,2,finished,1,2,False,1773669900,Jan Choinski,False,away,Miguel Damas,R32,2026-03-16 14:05
CH12,1,15710324,1773832500,"Murcia, Spain",Challenger,Round of 16,Pablo Llamas Ruiz,Jan Choinski,1,false,1,finished,2,1,False,1773832500,Jan Choinski,False,away,Pablo Llamas Ruiz,R16,2026-03-18 11:15
CH12,1,15856217,1774362600,"Montemar, Spain",Challenger,Round of 32,Jan Choinski,Tiago Pereira,1,false,1,finished,2,0,False,1774362600,Jan Choinski,False,home,Tiago Pereira,R32,2026-03-24 14:30
CH12,1,15829616,1774525800,"Montemar, Spain",Challenger,Round of 16,Jan Choinski,Roman Safiullin,2,false,2,finished,0,2,False,1774525800,Jan Choinski,False,home,Roman Safiullin,R16,2026-03-26 11:50
CH12,1,15917527,1774964400,"Bucharest, Romania",ATP,Round of 32,Stefanos Sakellaridis,Jan Choinski,1,false,1,finished,2,0,False,1774964400,Jan Choinski,False,away,Stefanos Sakellaridis,R32,2026-03-31 13:40
CH12,1,15944205,1775309400,"Monte Carlo, Monaco, Qualifying",ATP,Qualifications,Jan Choinski,Alexandre Muller,2,false,1,finished,0,2,False,1775309400,Jan Choinski,False,home,Alexandre Muller,Q,2026-04-04 13:30
CH12,1,15989238,1775898000,"Munich, Germany, Qualifying",ATP,Qualification Round 1,Jan Choinski,Marc-Andrea Huesler,2,false,2,finished,1,2,False,1775898000,Jan Choinski,False,home,Marc-Andrea Huesler,Q1,2026-04-11 09:00
CH12,1,16036200,1776695400,"Madrid, Spain, Qualifying",ATP,Qualification Round 1,Henrique Rocha,Jan Choinski,1,false,1,finished,2,1,False,1776695400,Jan Choinski,False,away,Henrique Rocha,Q1,2026-04-20 14:30
CH12,1,16071381,1777368300,"Mauthausen, Austria",Challenger,Round of 32,Joel Schwaerzler,Jan Choinski,2,false,1,finished,1,2,False,1777368300,Jan Choinski,False,away,Joel Schwaerzler,R32,2026-04-28 09:25
CH12,1,16050295,1777456200,"Mauthausen, Austria",Challenger,Round of 16,Laslo Djere,Jan Choinski,1,false,1,finished,2,0,False,1777456200,Jan Choinski,False,away,Laslo Djere,R16,2026-04-29 09:50
CH12,1,16119502,1777888800,"ATP Rome Masters, Italy, Qualifying",ATP,Qualification Round 1,Dušan Lajović,Jan Choinski,2,false,2,finished,0,2,False,1777888800,Jan Choinski,False,away,Dušan Lajović,Q1,2026-05-04 10:00
CH12,1,16125548,1777968000,"ATP Rome Masters, Italy, Qualifying",ATP,Qualification Final,Cristian Garin,Jan Choinski,1,false,1,finished,2,1,False,1777968000,Jan Choinski,False,away,Cristian Garin,Q,2026-05-05 08:00
CH12,1,16155397,1778659200,"Zagreb, Croatia",Challenger,Round of 32,Jan Choinski,Juan Pablo Ficovich,1,false,1,finished,2,1,False,1778659200,Jan Choinski,False,home,Juan Pablo Ficovich,R32,2026-05-13 08:00
CH12,1,16135268,1778752800,"Zagreb, Croatia",Challenger,Round of 16,Jan Choinski,Daniel Elahi Galan,1,false,1,finished,2,1,False,1778752800,Jan Choinski,False,home,Daniel Elahi Galan,R16,2026-05-14 10:00
CH12,1,16135266,1778771400,"Zagreb, Croatia",Challenger,Quarterfinals,Jan Choinski,Chris Rodesch,1,false,2,finished,2,1,False,1778771400,Jan Choinski,False,home,Chris Rodesch,QF,2026-05-14 15:10
