ref_id,code,player,event_name,event_type,event_date,round,opp_first,opp_last,score,level,year,sofa_status,sofa_id,sofa_ts,sofa_tournament,sofa_category,sofa_round,sofa_opponent,name_score,round_agree,place_agree,days_outside_window,first_to_serve,final_result_only,event_state,pbp_marker
CH12:atp:2012/488/ms008:BA79,CH12,Jan Choinski,Germany F9,FU,2012-07-09,R16,Andre,Begemann,6-3 4-6 0-6,ITF main draw,2012,absent,,,,,,,,,,,,,,False
CH12:atp:2012/488/ms017:U113,CH12,Jan Choinski,Germany F9,FU,2012-07-09,R32,Laslo,Urrutia Fuentes,4-6 6-0 7-6(5),ITF main draw,2012,absent,,,,,,,,,,,,,,False
CH12:atp:2012/2140/ms019:V635,CH12,Jan Choinski,Germany F16,FU,2012-08-27,R32,Francois-Arthur,Vibert,4-6 3-6,ITF main draw,2012,absent,,,,,,,,,,,,,,False
CH12:atp:2013/572/ms014:F980,CH12,Jan Choinski,Germany F7,FU,2013-06-24,R16,Lukas,Finzelberg,1-6 1-6,ITF main draw,2013,absent,,,,,,,,,,,,,,False
CH12:atp:2013/572/ms029:MQ41,CH12,Jan Choinski,Germany F7,FU,2013-06-24,R32,Luca,Marquard,6-3 3-6 7-6(5),ITF main draw,2013,absent,,,,,,,,,,,,,,False
CH12:atp:2013/551/ms030:Y171,CH12,Jan Choinski,Germany F8,FU,2013-07-01,R32,Denis,Yevseyev,6-7(4) 1-6,ITF main draw,2013,absent,,,,,,,,,,,,,,False
CH12:atp:2013/205/ms021:Z198,CH12,Jan Choinski,Germany F10,FU,2013-07-15,R32,Caio,Zampieri,3-6 4-6,ITF main draw,2013,absent,,,,,,,,,,,,,,False
CH12:atp:2013/3673/ms014:MN20,CH12,Jan Choinski,Germany F18,FU,2013-10-07,R16,Daniel,Masur,6-2 4-6 1-6,ITF main draw,2013,linked,4531852,1381399200.0,"Germany F18, Singles",ITF Men,absent,Daniel Masur,3.0,0.0,1.0,0.0,absent,false,finished,False
CH12:atp:2013/3673/ms028:W534,CH12,Jan Choinski,Germany F18,FU,2013-10-07,R32,Torsten,Wietoska,4-6 6-0 6-4,ITF main draw,2013,absent,,,,,,,,,,,,,,False
CH12:atp:2013/6666/ms022:DA91,CH12,Jan Choinski,Germany F20,FU,2013-10-21,R32,Michel,Dornbusch,6-1 3-6 3-6,ITF main draw,2013,linked,4588848,1382536800.0,"Germany F20, Singles",ITF Men,absent,Michel Dornbusch,3.0,0.0,1.0,0.0,absent,false,finished,False
CH12:atp:2014/321/qs013:MG54,CH12,Jan Choinski,Stuttgart,250,2014-07-07,Q2,Yann,Marti,2-6 7-6(4) 2-6,Tour qualifying,2014,linked,5664174,1404651600.0,"Stuttgart, Germany, Qualifying",ATP,Qualification,Yann Marti,3.0,1.0,1.0,0.0,absent,false,finished,False
CH12:atp:2014/321/qs026:E243,CH12,Jan Choinski,Stuttgart,250,2014-07-07,Q1,David,Estruch,6-3 6-3,Tour qualifying,2014,linked,5663382,1404569400.0,"Stuttgart, Germany, Qualifying",ATP,Qualification,D. Estruch Mano,1.0,1.0,1.0,0.0,absent,false,finished,False
CH12:atp:2014/551/ms031:T911,CH12,Jan Choinski,Germany F8,FU,2014-07-14,R32,Peter,Torebko,2-6 1-6,ITF main draw,2014,linked,5709246,1405438200.0,"Germany F8, Singles",ITF Men,absent,Peter Torebko,3.0,0.0,1.0,0.0,1,false,finished,True
CH12:atp:2014/488/ms022:MM51,CH12,Jan Choinski,Germany F9,FU,2014-07-21,R32,Kim,Moellers,6-3 4-6 1-3,ITF main draw,2014,linked,5752630,1406121900.0,"Germany F9, Singles",ITF Men,absent,Kim Moellers,3.0,0.0,1.0,0.0,1,false,finished,True
CH12:atp:2014/205/ms006:K760,CH12,Jan Choinski,Germany F10,FU,2014-07-28,QF,Evgeny,Korolev,3-6 5-7,ITF main draw,2014,linked,5796938,1406804400.0,"Germany F10, Singles",ITF Men,absent,Evgeny Korolev,3.0,0.0,1.0,0.0,2,false,finished,True
CH12:atp:2014/205/ms012:TB79,CH12,Jan Choinski,Germany F10,FU,2014-07-28,R16,Maxime,Tchoutakian,7-5 6-4,ITF main draw,2014,linked,5791846,1406728800.0,"Germany F10, Singles",ITF Men,absent,Maxime Tchoutakian,3.0,0.0,1.0,0.0,1,false,finished,True
CH12:atp:2014/205/ms025:PB97,CH12,Jan Choinski,Germany F10,FU,2014-07-28,R32,Andrei,Plotniy,6-1 6-2,ITF main draw,2014,linked,5784346,1406642100.0,"Germany F10, Singles",ITF Men,absent,Andrei Plotniy,3.0,0.0,1.0,0.0,1,false,finished,True
CH12:atp:2014/232/ms001:H997,CH12,Jan Choinski,Germany F12,FU,2014-08-11,F,Yannick,Hanfmann,5-7 1-6,ITF main draw,2014,linked,5881628,1408273200.0,"Germany F12, Singles",ITF Men,absent,Yannick Hanfmann,3.0,0.0,1.0,0.0,1,false,finished,True
CH12:atp:2014/232/ms003:HB31,CH12,Jan Choinski,Germany F12,FU,2014-08-11,SF,Johannes,Haerteis,7-6(5) 6-0,ITF main draw,2014,linked,5878842,1408186800.0,"Germany F12, Singles",ITF Men,absent,Johannes Haerteis,3.0,0.0,1.0,0.0,1,false,finished,True
CH12:atp:2014/232/ms006:LA01,CH12,Jan Choinski,Germany F12,FU,2014-08-11,QF,Marko,Lenz,4-6 6-1 7-5,ITF main draw,2014,linked,5873082,1408107600.0,"Germany F12, Singles",ITF Men,absent,Marko Lenz,3.0,0.0,1.0,0.0,absent,false,finished,False
CH12:atp:2014/232/ms013:W725,CH12,Jan Choinski,Germany F12,FU,2014-08-11,R16,Paul,Woerner,6-3 5-7 6-3,ITF main draw,2014,linked,5864664,1408030500.0,"Germany F12, Singles",ITF Men,absent,Paul Woerner,3.0,0.0,1.0,0.0,1,false,finished,True
CH12:atp:2014/232/ms026:GC03,CH12,Jan Choinski,Germany F12,FU,2014-08-11,R32,Teri,Groll,6-4 6-1,ITF main draw,2014,linked,5855284,1407847800.0,"Germany F12, Singles",ITF Men,absent,Teri Groll,3.0,0.0,1.0,0.0,1,false,finished,True
CH12:atp:2014/7111/ms001:CG32,CH12,Jan Choinski,Belgium F12,FU,2014-08-18,F,Julien,Cagnina,3-6 6-4 7-6(3),ITF main draw,2014,linked,5937464,1408806000.0,"Belgium F12, Singles",ITF Men,absent,Julien Cagnina,3.0,0.0,1.0,0.0,1,false,finished,True
CH12:atp:2014/7111/ms003:SS61,CH12,Jan Choinski,Belgium F12,FU,2014-08-18,SF,Omar,Salman,7-6(4) 6-1,ITF main draw,2014,linked,5930296,1408714200.0,"Belgium F12, Singles",ITF Men,absent,Omar Salman,3.0,0.0,1.0,0.0,2,false,finished,True
CH12:atp:2014/7111/ms006:GC98,CH12,Jan Choinski,Belgium F12,FU,2014-08-18,QF,Juan Matias,Gonzalez Carrasco,7-6(5) 7-6(2),ITF main draw,2014,linked,5919044,1408631700.0,"Belgium F12, Singles",ITF Men,absent,J. Gonzalez Carrasco,1.0,0.0,1.0,0.0,2,false,finished,True
