# player: Gabriele Piraino | sofascore_id: 381399 | how verified: search/all?q=Gabriele%20Piraino -> single team result: id 381399, slug piraino-gabriele, sport Tennis, gender M, country Italy, type 1 (singles), nameCode PIR; no other team/player candidates in results; birth date not shown in search payload (not checked against 2003-11-12)
# page 0 | COUNT=22 TRUNCATED=yes HASNEXT=absent
16126024 | 1777990200 | Francavilla, Italy | Challenger | Round of 32 | Martin Krumich | Gabriele Piraino | 1 | false | 1 | finished | 2 | 0
16165453 | 1778599358 | ITF M25 Reggio Emilia Men | ITF Men | Round of 32 | Gabriele Piraino | Pierluigi Basile | 1 | false | absent | finished | 2 | 1
16175880 | 1778757021 | ITF M25 Reggio Emilia Men | ITF Men | Round of 16 | Gabriele Piraino | Jacopo Bilardo | 1 | false | absent | finished | 2 | 1
16182049 | 1778854162 | ITF M25 Reggio Emilia Men | ITF Men | Quarterfinals | Gabriele Piraino | Federico Bondioli | 1 | false | absent | finished | 2 | 1
16187505 | 1778940880 | ITF M25 Reggio Emilia Men | ITF Men | Semifinals | Manuel Mazza | Gabriele Piraino | 2 | false | absent | finished | 1 | 2
16192145 | 1779007528 | ITF M25 Reggio Emilia Men | ITF Men | Final | Andrea Guerrieri | Gabriele Piraino | 1 | false | absent | finished | 2 | 0
16191957 | 1779183300 | Cervia, Italy | Challenger | Round of 32 | Lorenzo Rottoli | Gabriele Piraino | 2 | false | 1 | finished | 0 | 2
16180935 | 1779297000 | Cervia, Italy | Challenger | Round of 16 | Andrea Guerrieri | Gabriele Piraino | 1 | false | 1 | finished | 2 | 0
16270930 | 1780505913 | ITF M25 Caltanissetta Men | ITF Men | Round of 32 | Lorenzo Lorusso | Gabriele Piraino | 2 | false | absent | finished | 0 | 2
16275972 | 1780591348 | ITF M25 Caltanissetta Men | ITF Men | Round of 16 | Toby Martin | Gabriele Piraino | 2 | false | absent | finished | 0 | 2
16279468 | 1780666928 | ITF M25 Caltanissetta Men | ITF Men | Quarterfinals | Rafael Izquierdo Luque | Gabriele Piraino | 2 | false | absent | finished | 1 | 2
16283930 | 1780766103 | ITF M25 Caltanissetta Men | ITF Men | Semifinals | Luca Potenza | Gabriele Piraino | 1 | false | absent | finished | 2 | 1
