ref_id,player,event,date,round,wl,opp,score,level,url
H09P:atp:2023/637/ms026:M0NL,Brandon Holt,Champaign,2023-11-13,R32,W,Inaki Montes-De La Torre,5-7 6-0 6-1,Challenger main draw,https://www.tennislive.net/atp/match/brandon-holt-VS-inaki-montes-de-la-torre/champaign-challenger-2023/
P0I6:atp:2023/7707/ms022:ML57,Gabriele Piraino,Francavilla al Mare,2023-05-08,R32,L,Gianluca Mager,6-7(2) 7-5 6-7(6),Challenger main draw,https://www.tennislive.net/atp/match/gianluca-mager-VS-gabriele-piraino/francavilla-al-mare-challenger-2023/
H0A4:atp:2023/6307/ms020:C0DF,Nick Hardt,Campinas,2023-10-02,R32,L,Francisco Comesana,5-7 6-0 2-6,Challenger main draw,https://www.tennislive.net/atp/match/francisco-comesana-VS-nick-hardt/campinas-challenger-2023/
H09P:atp:2022/9152/ms008:W09G,Brandon Holt,Orlando,2022-06-06,R16,L,J.J. Wolf,5-7 6-3 3-6,Challenger main draw,https://www.tennislive.net/atp/match/j-j-wolf-VS-brandon-holt/orlando-challenger-2022/
H0A4:atp:2023/9544/ms029:D0FJ,Nick Hardt,Verona,2023-07-24,R32,L,Luciano Darderi,4-6 0-6,Challenger main draw,https://www.tennislive.net/atp/match/luciano-darderi-VS-nick-hardt/verona-challenger-2023/
S0GZ:atp:2023/784/ms029:DC76,Nikolas Sanchez Izquierdo,Seville,2023-09-04,R32,W,Viktor Durasovic,6-4 3-6 6-4,Challenger main draw,https://www.tennislive.net/atp/match/nikolas-sanchez-izquierdo-VS-viktor-durasovic/seville-challenger-2023/
CH12:atp:2023/9198/ms010:D0D2,Jan Choinski,Amersfoort,2023-07-17,R16,L,Alec Deckers,2-6 6-7(5),Challenger main draw,https://www.tennislive.net/atp/match/alec-deckers-VS-jan-choinski/amersfoort-challenger-2023/
H09P:atp:2023/6055/ms007:K0A3,Brandon Holt,Charlottesville,2023-10-30,QF,L,Patrick Kypson,1-6 4-6,Challenger main draw,https://www.tennislive.net/atp/match/patrick-kypson-VS-brandon-holt/charlottesville-challenger-2023/
G0BY:atp:2022/7339/qs020:SL08,Daniil Glinka,Fairfield,2022-10-10,Q1,L,Tennys Sandgren,4-6 5-7,Challenger qualifying,https://www.tennislive.net/atp/match/tennys-sandgren-VS-daniil-glinka/fairfield-challenger-2022/
O0A2:atp:2023/9516/qs008:A622,Gauthier Onclin,Lugano,2023-03-06,Q2,W,Andrea Arnaboldi,3-6 6-2 6-1,Challenger qualifying,https://www.tennislive.net/atp/match/gauthier-onclin-VS-andrea-arnaboldi/lugano-challenger-2023/
O0A2:atp:2022/6809/qs010:V717,Gauthier Onclin,Meerbusch,2022-08-08,Q2,L,Alexey Vatutin,6-4 4-6 1-6,Challenger qualifying,https://www.tennislive.net/atp/match/alexey-vatutin-VS-gauthier-onclin/meerbusch-challenger-2022/
H0A4:atp:2022/9154/qs010:GK06,Nick Hardt,Cleveland,2022-01-31,Q2,L,Alexis Galarneau,3-6 2-6,Challenger qualifying,https://www.tennislive.net/atp/match/alexis-galarneau-VS-nick-hardt/cleveland-challenger-2022/
V0F6:atp:2025/5194/ms024:P0NK,Nicolas Villalon,M15 Santiago,2025-11-17,R32,W,Jackson Pereira Xavier,6-3 6-4,ITF main draw,https://www.tennislive.net/atp/match/nicolas-villalon-VS-jackson-pereira-xavier/m15-santiago-2025/
P0HY:atp:2025/4563/ms008:D0L3,Samuele Pieri,M15 Porec,2025-03-10,R16,W,Matej Dodig,6-3 2-6 7-6(3),ITF main draw,https://www.tennislive.net/atp/match/samuele-pieri-VS-matej-dodig/m15-porec-2025/
G0BY:atp:2025/9554/ms031:DC76,Daniil Glinka,M25 Esch Alzette,2025-01-20,R32,W,Viktor Durasovic,7-6(4) 6-7(1) 6-4,ITF main draw,https://www.tennislive.net/atp/match/daniil-glinka-VS-viktor-durasovic/m25-esch-alzette-2025/
H0A4:atp:2025/4419/ms012:A0EA,Nick Hardt,M25 Sabadell,2025-09-22,R16,W,Max Alcala Gurri,6-1 6-3,ITF main draw,https://www.tennislive.net/atp/match/nick-hardt-VS-max-alcala-gurri/m25-sabadell-2025/
P0I6:atp:2025/9868/ms001:M0NX,Gabriele Piraino,M15 Gubbio,2025-07-14,F,W,Andrea Meduri,6-4 6-1,ITF main draw,https://www.tennislive.net/atp/match/gabriele-piraino-VS-andrea-meduri/m15-gubbio-2025/
S0GZ:atp:2025/4616/ms001:T09X,Nikolas Sanchez Izquierdo,M25 Reus,2025-03-31,F,L,Clement Tabur,4-6 4-6,ITF main draw,https://www.tennislive.net/atp/match/clement-tabur-VS-nikolas-sanchez-izquierdo/m25-reus-2025/
S0GZ:atp:2025/4605/ms014:M0EY,Nikolas Sanchez Izquierdo,M25 Tarragona,2025-03-24,R16,W,Alex Marti Pujolras,7-6(2) 6-4,ITF main draw,https://www.tennislive.net/atp/match/nikolas-sanchez-izquierdo-VS-alex-marti-pujolras/m25-tarragona-2025/
P0HY:atp:2025/4377/ms006:P0FJ,Samuele Pieri,M15 Curtea de Arges,2025-08-04,QF,L,Radu Mihai Papoe,3-6 7-6(6) 0-6,ITF main draw,https://www.tennislive.net/atp/match/radu-mihai-papoe-VS-samuele-pieri/m15-curtea-de-arges-2025/
